Crop,Nitrogen,Phosphorus,Potassium
Wheat,100,60,40
Jowar,80,40,30
Bajra,80,80,80
Rice,20,50,45
Cotton,150,80,60
Sugarcane,10,80,120
Grapes,80,40,50
Soybean,10,60,50
Green Gram,80,40,30
Turmeric,100,50,40
Banana,30,60,80
Mango,100,50,70
Orange,80,40,60
Pomegranate,110,55,75
Apple,12,60,80
Guava,90,45,65
Chikoo,40,70,90
Pineapple,80,40,50
Watermelon,90,50,70
Muskmelon,80,40,60
Onion,10,60,80
Potato,40,70,90
Tomato,10,55,75
Brinjal,20,60,80
Cauliflower,150,80,100
Broccoli,130,65,85
Cabbage,40,70,90
Spinach,100,50,70
Methi,80,40,60
Fenugreek,70,35,55
Coriander,80,40,60
Mint,90,45,65
